Well,DEPTH,GR,DT,NPHI,RHOB
IJS-57,836.4,39.519966,469.0096,0.273842,1.612174
IJS-57,836.5,38.841309,470.2417,0.268689,1.634668
IJS-57,836.6,38.789383,470.3513,0.261934,1.639988
IJS-57,836.7,39.123711,471.1414,0.257442,1.625945
IJS-57,836.8,39.542694,473.607,0.259661,1.59749
IJS-57,836.9,39.794235,477.866,0.270508,1.563175
IJS-57,837.0,39.737099,483.5005,0.287772,1.53203
IJS-57,837.1,39.380699,489.7533,0.30373,1.51054
IJS-57,837.2,38.837387,495.0959,0.309208,1.504557
IJS-57,837.3,38.300873,497.6573,0.304225,1.516991
IJS-57,837.4,37.999779,495.6087,0.294882,1.547438
IJS-57,837.5,38.030884,487.732,0.287683,1.59083
IJS-57,837.6,38.306206,474.0941,0.286318,1.6375
IJS-57,837.7,38.734955,456.6342,0.290614,1.674483
IJS-57,837.8,39.260452,438.733,0.297651,1.691621
IJS-57,837.9,39.770882,424.0114,0.304111,1.688637
IJS-57,838.0,40.170204,415.4823,0.308719,1.673353
IJS-57,838.1,40.517914,413.7029,0.311856,1.656366
IJS-57,838.2,40.959656,417.138,0.313588,1.645751
IJS-57,838.3,41.58326,423.0247,0.313218,1.646256
IJS-57,838.4,42.375336,428.607,0.309804,1.659635
IJS-57,838.5,43.201424,432.1993,0.302731,1.68558
IJS-57,838.6,43.922455,433.498,0.292949,1.721318
IJS-57,838.7,44.449165,433.5089,0.282593,1.76396
IJS-57,838.8,44.696259,433.5679,0.274688,1.809228
IJS-57,838.9,44.733032,434.3668,0.270912,1.852584
IJS-57,839.0,44.774391,435.64,0.271684,1.890786
IJS-57,839.1,44.996727,436.3606,0.27693,1.922331
IJS-57,839.2,45.459702,435.4033,0.286744,1.945202
IJS-57,839.3,46.14315,432.2323,0.299278,1.950621
IJS-57,839.4,46.960808,427.4133,0.310161,1.927532
IJS-57,839.5,47.839439,422.2829,0.315333,1.872594
IJS-57,839.6,48.721695,418.6402,0.313013,1.796258
IJS-57,839.7,49.58564,417.9003,0.304177,1.714472
IJS-57,839.8,50.394073,420.487,0.291465,1.642467
IJS-57,839.9,51.00296,425.3984,0.278991,1.59183
IJS-57,840.0,51.197311,430.9328,0.269788,1.567514
IJS-57,840.1,50.830078,435.3303,0.264541,1.570786
IJS-57,840.2,49.977966,437.3833,0.262257,1.597999
IJS-57,840.3,48.871063,436.9484,0.262051,1.642574
IJS-57,840.4,47.823189,434.8327,0.264351,1.695879
IJS-57,840.5,47.112671,432.4131,0.270111,1.748222
IJS-57,840.6,46.867165,431.1632,0.279698,1.78688
IJS-57,840.7,46.961082,431.9555,0.292285,1.799441
IJS-57,840.8,47.185631,434.5732,0.306511,1.78243
IJS-57,840.9,47.503441,437.8845,0.320657,1.74403
IJS-57,841.0,48.081078,440.3482,0.331372,1.701261
IJS-57,841.1,49.10244,440.8455,0.334479,1.668885
IJS-57,841.2,50.571213,438.8929,0.328787,1.655504
IJS-57,841.3,52.1772,434.8662,0.319079,1.663133
IJS-57,841.4,53.536316,429.5116,0.309919,1.688884
IJS-57,841.5,54.330193,423.4307,0.302956,1.725683
IJS-57,841.6,54.432587,416.637,0.298257,1.762081
IJS-57,841.7,53.949783,408.8103,0.295434,1.784861
IJS-57,841.8,53.282433,400.29,0.293542,1.783526
IJS-57,841.9,52.832817,392.0856,0.291605,1.75607
IJS-57,842.0,52.722916,385.9872,0.291067,1.708156
IJS-57,842.1,52.825241,383.9014,0.295266,1.653248
IJS-57,842.2,52.966583,386.5743,0.305759,1.604805
IJS-57,842.3,53.01844,393.4828,0.321365,1.574483
IJS-57,842.4,52.930443,402.7917,0.33787,1.568753
IJS-57,842.5,52.689827,412.0685,0.34827,1.58739
IJS-57,842.6,52.261024,418.6996,0.347824,1.623987
IJS-57,842.7,51.653816,421.4811,0.339335,1.671909
IJS-57,842.8,51.017227,420.5613,0.329175,1.727646
IJS-57,842.9,50.660454,417.3124,0.323004,1.78781
IJS-57,843.0,50.928436,413.3262,0.3224,1.851698
IJS-57,843.1,52.161957,409.6924,0.325759,1.915085
IJS-57,843.2,54.480232,406.4808,0.329113,1.972703
IJS-57,843.3,57.544243,403.0631,0.32831,2.017225
IJS-57,843.4,60.571861,398.6467,0.32358,2.04382
IJS-57,843.5,62.866829,392.8331,0.317956,2.054984
IJS-57,843.6,64.029221,385.9606,0.313765,2.05697
IJS-57,843.7,64.065613,379.4909,0.313429,2.056294
IJS-57,843.8,63.423157,375.1017,0.315501,2.057421
IJS-57,843.9,62.55481,374.0978,0.315951,2.062161
IJS-57,844.0,61.763588,376.9117,0.311722,2.069022
IJS-57,844.1,61.057655,382.8507,0.303176,2.074282
IJS-57,844.2,60.298332,390.8081,0.292802,2.074685
IJS-57,844.3,59.446632,399.3153,0.284074,2.069071
IJS-57,844.4,58.630936,407.495,0.278714,2.058609
IJS-57,844.5,58.163307,414.6579,0.276524,2.046587
IJS-57,844.6,58.149994,420.7875,0.276124,2.036705
IJS-57,844.7,58.401413,426.0499,0.275962,2.031483
IJS-57,844.8,58.549431,430.066,0.275528,2.031307
IJS-57,844.9,58.31279,432.3878,0.274877,2.033718
IJS-57,845.0,57.696068,432.6906,0.27397,2.035495
IJS-57,845.1,57.052116,430.9639,0.272196,2.034123
IJS-57,845.2,56.759735,427.4696,0.268453,2.029093
IJS-57,845.3,57.009674,422.6406,0.262518,2.022239
IJS-57,845.4,57.718071,416.7651,0.255837,2.016472
IJS-57,845.5,58.691391,409.949,0.25038,2.013026
IJS-57,845.6,59.639786,402.7685,0.246796,2.008986
IJS-57,845.7,60.393486,395.9658,0.243706,1.996804
IJS-57,845.8,60.90773,390.4566,0.239917,1.969626
IJS-57,845.9,61.118187,387.4454,0.23558,1.928651
IJS-57,846.0,60.985664,387.6523,0.232736,1.882583
IJS-57,846.1,60.59449,391.1751,0.234224,1.842342
IJS-57,846.2,60.108604,397.287,0.242313,1.818745
IJS-57,846.3,59.798538,404.7489,0.257713,1.816776
IJS-57,846.4,60.031479,411.8457,0.278516,1.836221
IJS-57,846.5,60.964653,417.3541,0.301381,1.871198
IJS-57,846.6,62.465919,420.81,0.321016,1.913041
IJS-57,846.7,64.167374,422.2616,0.330436,1.951738
IJS-57,846.8,65.692764,422.2958,0.328125,1.982449
IJS-57,846.9,66.761871,421.5985,0.315795,2.005431
IJS-57,847.0,67.226456,420.7189,0.298692,2.022067
IJS-57,847.1,67.182739,419.9004,0.283723,2.034096
IJS-57,847.2,66.751266,419.1114,0.276422,2.042218
IJS-57,847.3,65.980042,418.1842,0.276865,2.047934
IJS-57,847.4,64.978714,416.9435,0.283411,2.053272
IJS-57,847.5,64.145172,415.3224,0.29265,2.059188
IJS-57,847.6,64.080704,413.3462,0.300851,2.065286
IJS-57,847.7,65.223083,411.2167,0.304834,2.070263
IJS-57,847.8,67.417328,409.3114,0.303081,2.073096
IJS-57,847.9,69.858826,408.0246,0.295583,2.074555
IJS-57,848.0,71.599869,407.7356,0.283771,2.076368
IJS-57,848.1,72.285233,408.5707,0.270154,2.079949
IJS-57,848.2,72.316177,410.3866,0.257898,2.085367
IJS-57,848.3,72.490036,412.7796,0.251592,2.09134
IJS-57,848.4,73.48848,415.2781,0.254296,2.09646
IJS-57,848.5,75.267715,417.4235,0.265423,2.099597
IJS-57,848.6,76.98053,418.7964,0.280911,2.099505
IJS-57,848.7,77.74379,419.2217,0.293972,2.094953
IJS-57,848.8,77.265717,418.6591,0.298932,2.085695
IJS-57,848.9,75.942017,417.1025,0.295769,2.072812
