DEPTH,POROSITY,HOR_PERMEABILITY,VERT_PERMEABILITY,GRAIN_DENSITY,FORMATION_FACTOR,NITG_NR,UWI,SHORT_NM,ANALYSIS_NR,CORE_NR,LAB,LAB_NR,LAB_REPORT_DATE,REMARK,TOP_STRAT,BOTTOM_STRAT,STRAT_UNIT_CD,STRAT_UNIT_NM
976.1000,,,,2.6500,,B37H0712,1461,IJS-57,K-0050,1 t/m 2,KSEPL,,,,955.0000,1065.0000,KNNSY,IJsselmonde Sandstone Member
983.5000,16.3000,190.0000,,2.6500,,B37H0712,1461,IJS-57,K-0051,1 t/m 2,KSEPL,,,,955.0000,1065.0000,KNNSY,IJsselmonde Sandstone Member
983.8000,31.1000,2200.0000,,2.6500,,B37H0712,1461,IJS-57,K-0052,1 t/m 2,KSEPL,,,,955.0000,1065.0000,KNNSY,IJsselmonde Sandstone Member
984.2000,29.6000,3100.0000,,2.6500,,B37H0712,1461,IJS-57,K-0053,1 t/m 2,KSEPL,,,,955.0000,1065.0000,KNNSY,IJsselmonde Sandstone Member
984.5000,31.3000,2000.0000,,2.6700,,B37H0712,1461,IJS-57,K-0054,1 t/m 2,KSEPL,,,,955.0000,1065.0000,KNNSY,IJsselmonde Sandstone Member
984.9000,30.9000,2300.0000,,2.6500,,B37H0712,1461,IJS-57,K-0055,1 t/m 2,KSEPL,,,,955.0000,1065.0000,KNNSY,IJsselmonde Sandstone Member
984.9500,32.3000,1200.0000,,,,B37H0712,1461,IJS-57,K-0055A,1 t/m 2,KSEPL,,,,955.0000,1065.0000,KNNSY,IJsselmonde Sandstone Member
985.6000,32.7000,2500.0000,,2.6600,,B37H0712,1461,IJS-57,K-0056,1 t/m 2,KSEPL,,,,955.0000,1065.0000,KNNSY,IJsselmonde Sandstone Member
985.9000,32.1000,1400.0000,,2.6900,,B37H0712,1461,IJS-57,K-0057,1 t/m 2,KSEPL,,,,955.0000,1065.0000,KNNSY,IJsselmonde Sandstone Member
986.3000,32.9000,1900.0000,,2.6800,,B37H0712,1461,IJS-57,K-0058,1 t/m 2,KSEPL,,,,955.0000,1065.0000,KNNSY,IJsselmonde Sandstone Member
986.6000,29.1000,1600.0000,,2.7000,,B37H0712,1461,IJS-57,K-0059,1 t/m 2,KSEPL,,,,955.0000,1065.0000,KNNSY,IJsselmonde Sandstone Member
987.0000,31.8000,1500.0000,,2.7000,,B37H0712,1461,IJS-57,K-0060,1 t/m 2,KSEPL,,,,955.0000,1065.0000,KNNSY,IJsselmonde Sandstone Member
987.3000,34.0000,2000.0000,,2.6600,,B37H0712,1461,IJS-57,K-0061,1 t/m 2,KSEPL,,,,955.0000,1065.0000,KNNSY,IJsselmonde Sandstone Member
987.7000,29.4000,1700.0000,,2.6700,,B37H0712,1461,IJS-57,K-0062,1 t/m 2,KSEPL,,,,955.0000,1065.0000,KNNSY,IJsselmonde Sandstone Member
988.1000,30.9000,1700.0000,,2.7000,,B37H0712,1461,IJS-57,K-0063,1 t/m 2,KSEPL,,,,955.0000,1065.0000,KNNSY,IJsselmonde Sandstone Member
988.3000,33.3000,1400.0000,,2.6600,,B37H0712,1461,IJS-57,K-0064,1 t/m 2,KSEPL,,,,955.0000,1065.0000,KNNSY,IJsselmonde Sandstone Member
1001.8000,32.9000,1600.0000,,2.6700,,B37H0712,1461,IJS-57,K-0065,1 t/m 2,KSEPL,,,,955.0000,1065.0000,KNNSY,IJsselmonde Sandstone Member
1002.1000,31.6000,1100.0000,,2.6600,,B37H0712,1461,IJS-57,K-0066,1 t/m 2,KSEPL,,,,955.0000,1065.0000,KNNSY,IJsselmonde Sandstone Member
1011.3000,29.3000,1000.0000,,2.6600,,B37H0712,1461,IJS-57,K-0067,1 t/m 2,KSEPL,,,,955.0000,1065.0000,KNNSY,IJsselmonde Sandstone Member
1011.6000,24.0000,270.0000,,2.8200,,B37H0712,1461,IJS-57,K-0068,1 t/m 2,KSEPL,,,,955.0000,1065.0000,KNNSY,IJsselmonde Sandstone Member
1012.0000,19.4000,43.0000,,2.8500,,B37H0712,1461,IJS-57,K-0069,1 t/m 2,KSEPL,,,,955.0000,1065.0000,KNNSY,IJsselmonde Sandstone Member
1012.3000,30.2000,1300.0000,,2.6600,,B37H0712,1461,IJS-57,K-0070,1 t/m 2,KSEPL,,,,955.0000,1065.0000,KNNSY,IJsselmonde Sandstone Member
1012.7000,31.7000,1300.0000,,2.6600,,B37H0712,1461,IJS-57,K-0071,1 t/m 2,KSEPL,,,,955.0000,1065.0000,KNNSY,IJsselmonde Sandstone Member
1012.7600,30.5000,,,2.6600,,B37H0712,1461,IJS-57,K-0071N,1 t/m 2,KSEPL,,,,955.0000,1065.0000,KNNSY,IJsselmonde Sandstone Member
1012.7800,31.8000,835.0000,,2.6500,,B37H0712,1461,IJS-57,K-0071R,1 t/m 2,KSEPL,,,,955.0000,1065.0000,KNNSY,IJsselmonde Sandstone Member
1016.3000,29.4000,890.0000,,2.6500,,B37H0712,1461,IJS-57,K-0072,1 t/m 2,KSEPL,,,,955.0000,1065.0000,KNNSY,IJsselmonde Sandstone Member
1016.6000,27.1000,400.0000,,2.6600,,B37H0712,1461,IJS-57,K-0073,1 t/m 2,KSEPL,,,,955.0000,1065.0000,KNNSY,IJsselmonde Sandstone Member
1017.1000,28.9000,520.0000,,2.6700,,B37H0712,1461,IJS-57,K-0074,1 t/m 2,KSEPL,,,,955.0000,1065.0000,KNNSY,IJsselmonde Sandstone Member
1017.4000,28.9000,560.0000,,2.6400,,B37H0712,1461,IJS-57,K-0075,1 t/m 2,KSEPL,,,,955.0000,1065.0000,KNNSY,IJsselmonde Sandstone Member
1017.8000,30.3000,715.0000,,2.6500,,B37H0712,1461,IJS-57,K-0076,1 t/m 2,KSEPL,,,,955.0000,1065.0000,KNNSY,IJsselmonde Sandstone Member
1018.2000,25.2000,210.0000,,2.6700,,B37H0712,1461,IJS-57,K-0077,1 t/m 2,KSEPL,,,,955.0000,1065.0000,KNNSY,IJsselmonde Sandstone Member
1018.5000,29.7000,670.0000,,2.6600,,B37H0712,1461,IJS-57,K-0078,1 t/m 2,KSEPL,,,,955.0000,1065.0000,KNNSY,IJsselmonde Sandstone Member
1018.8000,25.5000,150.0000,,2.6500,,B37H0712,1461,IJS-57,K-0079,1 t/m 2,KSEPL,,,,955.0000,1065.0000,KNNSY,IJsselmonde Sandstone Member
1019.3000,24.4000,130.0000,,2.6600,,B37H0712,1461,IJS-57,K-0080,1 t/m 2,KSEPL,,,,955.0000,1065.0000,KNNSY,IJsselmonde Sandstone Member
1019.7000,17.6000,0.8100,,2.6800,,B37H0712,1461,IJS-57,K-0081,1 t/m 2,KSEPL,,,,955.0000,1065.0000,KNNSY,IJsselmonde Sandstone Member
1021.3000,13.6000,0.6400,,2.6600,,B37H0712,1461,IJS-57,K-0082,1 t/m 2,KSEPL,,,,955.0000,1065.0000,KNNSY,IJsselmonde Sandstone Member
1022.4000,13.3000,0.1400,,2.6900,,B37H0712,1461,IJS-57,K-0083,1 t/m 2,KSEPL,,,,955.0000,1065.0000,KNNSY,IJsselmonde Sandstone Member
1023.0000,24.7000,5.7000,,2.6600,,B37H0712,1461,IJS-57,K-0084,1 t/m 2,KSEPL,,,,955.0000,1065.0000,KNNSY,IJsselmonde Sandstone Member
1023.5800,25.5000,,,2.6600,,B37H0712,1461,IJS-57,K-0085N,1 t/m 2,KSEPL,,,,955.0000,1065.0000,KNNSY,IJsselmonde Sandstone Member
1023.6000,25.6000,190.0000,,2.6600,,B37H0712,1461,IJS-57,K-0085,1 t/m 2,KSEPL,,,,955.0000,1065.0000,KNNSY,IJsselmonde Sandstone Member
